Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Division,Unit,Type
Guatemala (2),271,350,358,718,817,1 118,1 176,1 054,1 019,970,North America,thousand metric tons,crude steel equivalent
Honduras (2),113,92,204,239,184,198,393,356,360,321,North America,thousand metric tons,crude steel equivalent
Mexico (1),17 565,20 648,23 140,23 714,22 904,26 160,27 848,28 503,29 587,28 471,North America,thousand metric tons,crude steel equivalent
Nicaragua (2),81,53,77,113,119,125,120,114,114,118,North America,thousand metric tons,crude steel equivalent
Panama (2),377,455,232,273,648,626,553,588,489,489,North America,thousand metric tons,crude steel equivalent
Trinidad and Tobago (2),264,342,303,318,334,351,338,320,322,332,North America,thousand metric tons,crude steel equivalent
United States (1),69 400,92 400,101 000,108 300,106 300,121 600,108 333,102 570,109 664,111 981,North America,thousand metric tons,crude steel equivalent
Other North America,1 041,729,268,308,306,338,425,447,538,464,North America,thousand metric tons,crude steel equivalent
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Argentina (1),3 652,5 268,6 087,5 582,5 775,5 712,5 991,4 796,5 610,5 502,South America,thousand metric tons,crude steel equivalent
Bolivia (2),98,127,130,130,566,673,629,679,578,545,South America,thousand metric tons,crude steel equivalent
Brazil (1),20 640,29 004,28 993,29 526,31 131,28 451,23 662,20 578,21 693,23 563,South America,thousand metric tons,crude steel equivalent
Chile (2),1 960,2 738,3 148,3 457,3 105,3 031,3 215,3 172,3 171,3 150,South America,thousand metric tons,crude steel equivalent
Colombia (2),2 481,3 134,3 603,3 926,4 393,4 980,5 078,4 610,4 484,4 579,South America,thousand metric tons,crude steel equivalent
Ecuador (2),1 222,1 454,2 047,1 760,2 262,1 942,1 989,1 831,2 026,2 108,South America,thousand metric tons,crude steel equivalent
Paraguay (2),143,237,276,244,256,269,260,340,362,516,South America,thousand metric tons,crude steel equivalent
Peru (2),1 854,2 832,2 833,3 130,3 235,3 392,4 084,3 820,4 280,4 730,South America,thousand metric tons,crude steel equivalent
Uruguay (2),125,168,231,261,243,236,249,210,185,193,South America,thousand metric tons,crude steel equivalent
Venezuela (1),3 270,2 786,3 216,3 707,3 550,2 526,2 271,926,624,512,South America,thousand metric tons,crude steel equivalent
Other South America,50,25,77,84,92,92,117,88,96,117,South America,thousand metric tons,crude steel equivalent
,,,,,,,,,,,,,
Algeria (1),4 752,3 403,4 208,5 160,6 268,6 858,6 656,6 320,6 459,6 031,Africa,thousand metric tons,crude steel equivalent
Angola,1 014,679,843,1 113,1 091,1 108,834,318,223,229,Africa,thousand metric tons,crude steel equivalent
Benin,157,120,146,178,127,147,138,123,114,109,Africa,thousand metric tons,crude steel equivalent
Cameroon,181,171,166,249,248,288,288,259,206,233,Africa,thousand metric tons,crude steel equivalent
Congo,114,81,122,153,255,295,160,101,72,40,Africa,thousand metric tons,crude steel equivalent
Dem. Rep. of the Congo,85,85,109,116,135,170,145,106,110,194,Africa,thousand metric tons,crude steel equivalent
Djibouti,145,146,157,214,128,170,626,723,551,515,Africa,thousand metric tons,crude steel equivalent
Egypt (1),9 829,9 306,8 370,10 182,9 900,10 930,11 622,12 501,10 890,11 836,Africa,thousand metric tons,crude steel equivalent
Equatorial Guinea,84,119,112,138,137,115,83,42,23,24,Africa,thousand metric tons,crude steel equivalent
Ethiopia,543,332,490,745,860,895,1 112,1 091,757,717,Africa,thousand metric tons,crude steel equivalent
Gabon,78,106,132,145,150,162,100,70,53,57,Africa,thousand metric tons,crude steel equivalent
Ghana,464,533,852,785,767,841,969,914,772,824,Africa,thousand metric tons,crude steel equivalent
Guinea,65,71,106,86,123,119,153,119,147,176,Africa,thousand metric tons,crude steel equivalent
Ivory Coast,181,223,205,220,285,322,369,424,441,427,Africa,thousand metric tons,crude steel equivalent
Kenya,892,867,1 306,1 028,1 409,1 436,1 835,1 608,1 465,1 519,Africa,thousand metric tons,crude steel equivalent
Libya (1),2 089,1 564,72,997,1 701,1 808,1 539,1 539,1 539,1 447,Africa,thousand metric tons,crude steel equivalent
Madagascar,88,76,87,89,103,117,119,150,145,151,Africa,thousand metric tons,crude steel equivalent
Mauritania,58,67,108,117,132,161,115,110,135,103,Africa,thousand metric tons,crude steel equivalent
Mauritius,105,131,103,91,98,93,121,109,119,136,Africa,thousand metric tons,crude steel equivalent
Morocco (1),1 919,1 814,3 110,2 889,3 081,2 817,3 000,3 177,3 367,3 307,Africa,thousand metric tons,crude steel equivalent
Mozambique,182,200,208,289,384,426,392,269,232,296,Africa,thousand metric tons,crude steel equivalent
Nigeria,1 983,1 524,1 968,1 957,2 427,2 154,1 873,1 381,1 174,1 687,Africa,thousand metric tons,crude steel equivalent
Senegal,287,362,431,394,335,413,449,554,510,634,Africa,thousand metric tons,crude steel equivalent
South Africa (1),4 931,5 534,5 900,5 827,6 295,5 663,5 858,5 500,5 244,5 163,Africa,thousand metric tons,crude steel equivalent
Sudan (1),437,374,328,371,293,333,356,358,337,350,Africa,thousand metric tons,crude steel equivalent
Tanzania,344,355,474,439,777,643,712,587,572,780,Africa,thousand metric tons,crude steel equivalent
Tunisia (1),794,990,858,850,838,867,889,899,921,949,Africa,thousand metric tons,crude steel equivalent
Togo,83,149,122,187,165,199,204,171,155,182,Africa,thousand metric tons,crude steel equivalent
Uganda,121,200,161,78,131,160,155,132,154,216,Africa,thousand metric tons,crude steel equivalent
Zambia,118,124,180,158,209,170,181,157,173,192,Africa,thousand metric tons,crude steel equivalent
Zimbabwe,45,80,114,120,126,136,158,167,138,164,Africa,thousand metric tons,crude steel equivalent
Other Africa,497,3 442,519,491,694,679,825,891,869,993,Africa,thousand metric tons,crude steel equivalent
,,,,,,,,,,,,,
Bahrain (1),270,354,206,237,276,296,302,284,293,298,Other Middle East,thousand metric tons,crude steel equivalent
Iran (1),19 496,21 878,23 467,21 081,21 998,22 089,21 911,21 228,22 174,21 731,Other Middle East,thousand metric tons,crude steel equivalent
Iraq (1),2 363,2 388,2 937,3 783,4 144,3 601,3 387,3 692,3 582,3 686,Other Middle East,thousand metric tons,crude steel equivalent
Israel,1 669,1 873,2 160,2 307,2 584,2 775,3 110,3 466,3 299,3 504,Other Middle East,thousand metric tons,crude steel equivalent
Jordan (1),1 380,1 181,1 092,1 190,1 122,1 191,1 236,1 249,1 249,1 280,Other Middle East,thousand metric tons,crude steel equivalent
Kuwait (1),973,1 202,1 072,1 224,1 397,1 582,1 609,1 613,1 521,1 574,Other Middle East,thousand metric tons,crude steel equivalent
Lebanon (1),898,846,950,928,868,947,976,996,996,1 015,Other Middle East,thousand metric tons,crude steel equivalent
Oman (1),620,1 026,1 068,1 190,1 364,1 510,1 619,1 570,1 593,1 630,Other Middle East,thousand metric tons,crude steel equivalent
Qatar (1),1 700,1 291,1 103,1 202,1 373,1 582,1 663,1 639,1 640,1 706,Other Middle East,thousand metric tons,crude steel equivalent
Saudi Arabia (1),10 158,10 800,12 600,13 500,14 000,14 600,14 000,12 650,12 272,8 919,Other Middle East,thousand metric tons,crude steel equivalent
Syria (1),2 774,2 090,1 490,776,471,289,293,293,270,270,Other Middle East,thousand metric tons,crude steel equivalent
United Arab Emirates (1),6 934,7 364,7 592,7 656,7 413,7 771,7 757,8 514,8 621,8 728,Other Middle East,thousand metric tons,crude steel equivalent
Yemen (1),861,578,382,587,500,971,621,534,496,497,Other Middle East,thousand metric tons,crude steel equivalent
Other Middle East,7,7,3,20,14,18,7,7,11,12,Other Middle East,thousand metric tons,crude steel equivalent
,,,,,,,,,,,,,
Bangladesh,1 784,1 982,2 138,2 467,2 616,2 907,4 353,4 310,2 929,3 433,Asia,thousand metric tons,crude steel equivalent
China (1),574 420,612 063,667 941,687 609,772 340,740 380,700 350,709 400,806 080,869 750,Asia,thousand metric tons,crude steel equivalent
"Hong Kong, China",1 703,1 929,1 886,1 991,2 436,2 727,3 776,2 482,2 342,2 202,Asia,thousand metric tons,crude steel equivalent
India (1),64 360,69 082,73 154,77 436,80 656,87 086,89 256,94 502,100 892,104 502,Asia,thousand metric tons,crude steel equivalent
Indonesia (3),8 908,10 744,13 148,15 006,15 237,15 483,13 656,15 214,16 318,18 107,Asia,thousand metric tons,crude steel equivalent
Japan (1),56 000,67 400,69 600,68 800,70 800,72 900,67 852,67 469,70 125,71 256,Asia,thousand metric tons,crude steel equivalent
North Korea,1 330,1 279,1 373,1 350,1 352,1 407,1 507,1 522,1 441,1 237,Asia,thousand metric tons,crude steel equivalent
South Korea (1),47 303,54 573,58 741,56 322,53 919,57 834,58 125,59 450,58 670,55 950,Asia,thousand metric tons,crude steel equivalent
Malaysia (3),7 727,9 668,9 578,10 374,11 685,11 720,11 628,11 925,10 980,11 368,Asia,thousand metric tons,crude steel equivalent
Mongolia,133,133,317,377,464,480,366,212,273,400,Asia,thousand metric tons,crude steel equivalent
Myanmar,876,991,1 292,1 549,1 554,2 317,2 605,2 560,2 159,2 238,Asia,thousand metric tons,crude steel equivalent
Pakistan,2 620,2 174,3 189,3 788,4 210,4 820,6 464,8 118,9 005,7 864,Asia,thousand metric tons,crude steel equivalent
Philippines (3),3 993,4 650,5 940,6 986,7 796,8 517,10 186,11 253,11 418,12 472,Asia,thousand metric tons,crude steel equivalent
Singapore (1),3 540,3 350,4 900,4 782,5 345,4 791,5 019,3 540,3 400,3 628,Asia,thousand metric tons,crude steel equivalent
Sri Lanka,423,517,580,664,638,731,1 028,1 153,1 117,1 060,Asia,thousand metric tons,crude steel equivalent
"Taiwan, China (1)",13 530,21 350,21 715,21 332,22 285,23 469,21 032,21 932,21 206,21 423,Asia,thousand metric tons,crude steel equivalent
Thailand (3),12 501,16 378,16 881,19 047,20 732,22 382,21 103,24 159,22 137,22 367,Asia,thousand metric tons,crude steel equivalent
Viet Nam (3),12 700,12 293,11 276,12 740,13 685,16 226,20 510,25 088,24 311,25 070,Asia,thousand metric tons,crude steel equivalent
Other Asia,393,1 461,2 597,1 078,821,1 293,1 066,2 154,3 010,3 166,Asia,thousand metric tons,crude steel equivalent
,,,,,,,,,,,,,
Australia (1),5 916,7 716,6 672,7 152,6 376,7 142,6 967,6 477,6 025,6 091,Oceania,thousand metric tons,crude steel equivalent
New Zealand (1),740,971,931,974,1 016,1 140,895,837,873,903,Oceania,thousand metric tons,crude steel equivalent
Other Oceania,244,310,649,574,323,309,348,368,349,307,Oceania,thousand metric tons,crude steel equivalent
