Companies,Country,Tonnage in 2020,Tonnage in 2019,Unit,2020 Ranking,2019 Ranking
Yuanli Group,China,5.2,4.97,Million tonnes,67,67
Ganglu Steel,China,5.16,5.2,Million tonnes,68,66
RIVA Group,Luxembourg,5.11,5.55,Million tonnes,69,62
Gaoyi Steel,China,5.09,3.98,Million tonnes,70,N/R
Tianzhu Steel,China,5.02,4.68,Million tonnes,71,74
Metalloinvest Management Company,Russia,4.97,4.87,Million tonnes,72,70
Xinda Steel,China,4.96,5.6,Million tonnes,73,N/R
Aosen Steel,China,4.93,5.6,Million tonnes,74,N/R
Donghua Steel,China,4.68,4.37,Million tonnes,75,77
Rockcheck Steel,China,4.6,3.85,Million tonnes,76,85
Ezz Steel,Egypt,4.57,4.68,Million tonnes,77,73
ISD,Ukraine,4.53,5.4,Million tonnes,78,64
Ningbo Steel,China,4.49,4.33,Million tonnes,79,78
"Saudi Iron & Steel Co.(Hadeed, an affiliate of SABIC)",KSA,4.48,4.87,Million tonnes,80,69
Jiyuan Steel,China,4.34,3.98,Million tonnes,81,83
Tosyal Holding,Turkey,4.32,3.91,Million tonnes,82,84
Xinxing Ductile,China,4.25,4.05,Million tonnes,83,81
Shiheng Special Steel,China,4.22,4.16,Million tonnes,84,80
Habas,Turkey,4.18,4.29,Million tonnes,85,79
Yukun Steel,China,4.16,3.99,Million tonnes,86,82
Lianxin Steel,China,4.07,3.49,Million tonnes,87,91
Usinas Siderurgicas de Minas Gerais S.A.(USIMINAS),Brazil,4.04,4.57,Million tonnes,88,75
Hongxing Steel,China,4.01,5.18,Million tonnes,89,68
Rashtriya Ispat Nigam Ltd (VIZAG Steel),India,3.98,4.84,Million tonnes,90,71
Companhia Siderurgica Nacional (CSN),Brazil,3.81,3.04,Million tonnes,91,103
Sanbao Steel,China,3.81,3.6,Million tonnes,92,87
Yuhua Steel,China,3.79,3.48,Million tonnes,93,92
Desheng Group,China,3.73,3.73,Million tonnes,94,N/R
Jianbang Group,China,3.69,3.17,Million tonnes,95,99
Mechel,Russia,3.61,3.6,Million tonnes,96,86
Zhongyang Steel,China,3.56,3.55,Million tonnes,97,89
Huttenwerke Krupp Mannesmann,Germany,3.503,4.39,Million tonnes,98,76
Taishan Steel,China,3.45,3.33,Million tonnes,99,95
Longteng Special Steel,China,3.36,3.18,Million tonnes,100,98
Guangxi Guigang,China,3.35,2.07,Million tonnes,101,N/R
Eastran Special Steel,China,3.24,3.03,Million tonnes,102,N/R
Xinjin Steel,China,3.24,2.78,Million tonnes,103,N/R
Icdas,Turkey,3.22,3.09,Million tonnes,104,101
Rongxin Steel,China,3.2,3.39,Million tonnes,105,94
Luli Steel,China,3.16,2.22,Million tonnes,106,N/R
Xiwang Special steel,China,3.13,2.5,Million tonnes,107,N/R
