Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Division,Import/Export,Product Type
Cuba,23,17,41,47,40,24,9,32,49,49,North America,Export,Semi-finished and Finished Steel
Dominican Republic,37,36,90,47,35,43,44,33,48,66,North America,Export,Semi-finished and Finished Steel
El Salvador,100,4,2,6,4,8,5,10,12,11,North America,Export,Semi-finished and Finished Steel
Guatemala,4,9,8,13,13,14,16,61,82,82,North America,Export,Semi-finished and Finished Steel
Honduras,20,20,2,13,12,19,17,28,21,14,North America,Export,Semi-finished and Finished Steel
Jamaica,0,0,2,...,...,0,0,0,0,0,North America,Export,Semi-finished and Finished Steel
Mexico,3 619,5 183,5 537,4 688,5 639,5 395,3 898,4 084,5 180,5 825,North America,Export,Semi-finished and Finished Steel
Nicaragua,4,5,0,0,0,1,2,1,0,1,North America,Export,Semi-finished and Finished Steel
Panama,3,5,4,7,3,11,5,4,5,7,North America,Export,Semi-finished and Finished Steel
Trinidad and Tobago,102,125,170,175,102,129,83,4,1,0,North America,Export,Semi-finished and Finished Steel
United States,9 238,11 802,13 288,13 560,12 508,11 961,10 000,9 247,10 211,8 623,North America,Export,Semi-finished and Finished Steel
Other North America,31,1,4,6,4,4,18,3,9,1,North America,Export,Semi-finished and Finished Steel
,,,,,,,,,,,,,
Argentina,1 294,1 113,1 118,1 026,880,890,471,450,612,129,South America,Export,Semi-finished and Finished Steel
Bolivia,0,0,0,0,0,0,0,0,0,0,South America,Export,Semi-finished and Finished Steel
Brazil,8 607,8 983,10 824,9 673,8 081,9 766,13 708,13 399,15 317,13 914,South America,Export,Semi-finished and Finished Steel
Chile,103,115,114,80,51,118,79,84,116,222,South America,Export,Semi-finished and Finished Steel
Colombia,191,203,188,178,119,100,66,66,89,98,South America,Export,Semi-finished and Finished Steel
Ecuador,10,27,25,20,22,21,40,41,40,60,South America,Export,Semi-finished and Finished Steel
Paraguay,11,9,3,...,0,0,0,1,...,5,South America,Export,Semi-finished and Finished Steel
Peru,135,138,134,166,166,178,149,215,209,219,South America,Export,Semi-finished and Finished Steel
Uruguay,31,20,26,1,28,28,20,38,47,26,South America,Export,Semi-finished and Finished Steel
