Companies,Country,Tonnage in 2020,Tonnage in 2019,Unit,2020 Ranking,2019 Ranking
Yingkou Plate,China,7.78,7.01,Million tonnes,51,52.0
SSAB,Sweden,7.54,7.62,Million tonnes,52,49.0
Jindal Steel and Power Ltd,India,7.51,6.3,Million tonnes,53,57.0
Jiujiang Wire Rod,China,7.32,8.45,Million tonnes,54,
Liberty Steel Group,Australia/UK,6.95,5.41,Million tonnes,55,63.0
CELSA Steel Group,Spain,6.9,6.9,Million tonnes,56,54.0
voestalpine Group,Austria,6.69,7.26,Million tonnes,57,51.0
Ruifeng Steel,China,6.6,6.25,Million tonnes,58,58.0
Puyang Steel,China,6.3,6.36,Million tonnes,59,56.0
Salzgitter Group,Germany,6.03,6.9,Million tonnes,60,53.0
Lingyuan Steel,China,5.89,5.9,Million tonnes,61,60.0
BlueScope Steel Limited,Australia,5.78,5.86,Million tonnes,62,61.0
Binxin Special Steel,China,5.73,5.91,Million tonnes,63,59.0
"Kobe Steel, Ltd.",Japan,5.69,6.89,Million tonnes,64,55.0
Jinnan Steel Group,China,5.45,4.94,Million tonnes,65,
Jincheng Fusheng,China,5.29,4.75,Million tonnes,66,
Yuanli Group,China,5.2,4.97,Million tonnes,67,67.0
Ganglu Steel,China,5.16,5.2,Million tonnes,68,66.0
RIVA Group,Luxembourg,5.11,5.55,Million tonnes,69,62.0
Gaoyi Steel,China,5.09,3.98,Million tonnes,70,
Tianzhu Steel,China,5.02,4.68,Million tonnes,71,74.0
Metalloinvest Management Company,Russia,4.97,4.87,Million tonnes,72,70.0
Xinda Steel,China,4.96,5.6,Million tonnes,73,
Aosen Steel,China,4.93,5.6,Million tonnes,74,
Donghua Steel,China,4.68,4.37,Million tonnes,75,77.0
Rockcheck Steel,China,4.6,3.85,Million tonnes,76,85.0
Ezz Steel,Egypt,4.57,4.68,Million tonnes,77,73.0
ISD,Ukraine,4.53,5.4,Million tonnes,78,64.0
Ningbo Steel,China,4.49,4.33,Million tonnes,79,78.0
Saudi Iron & Steel Co.,KSA,4.48,4.87,Million tonnes,80,69.0
Jiyuan Steel,China,4.34,3.98,Million tonnes,81,83.0
Tosyal Holding,Turkey,4.32,3.91,Million tonnes,82,84.0
Xinxing Ductile,China,4.25,4.05,Million tonnes,83,81.0
Shiheng Special Steel,China,4.22,4.16,Million tonnes,84,80.0
Habas,Turkey,4.18,4.29,Million tonnes,85,79.0
Yukun Steel,China,4.16,3.99,Million tonnes,86,82.0
Lianxin Steel,China,4.07,3.49,Million tonnes,87,91.0
Usinas Siderurgicas de Minas Gerais S.A.,Brazil,4.04,4.57,Million tonnes,88,75.0
Hongxing Steel,China,4.01,5.18,Million tonnes,89,68.0
Rashtriya Ispat Nigam Ltd,India,3.98,4.84,Million tonnes,90,71.0
Companhia Siderurgica Nacional,Brazil,3.81,3.04,Million tonnes,91,103.0
Sanbao Steel,China,3.81,3.6,Million tonnes,92,87.0
Yuhua Steel,China,3.79,3.48,Million tonnes,93,92.0
Desheng Group,China,3.73,3.73,Million tonnes,94,
Jianbang Group,China,3.69,3.17,Million tonnes,95,99.0
Mechel,Russia,3.61,3.6,Million tonnes,96,86.0
Zhongyang Steel,China,3.56,3.55,Million tonnes,97,89.0
Huttenwerke Krupp Mannesmann,Germany,3.503,4.39,Million tonnes,98,76.0
Taishan Steel,China,3.45,3.33,Million tonnes,99,95.0
Longteng Special Steel,China,3.36,3.18,Million tonnes,100,98.0
Guangxi Guigang,China,3.35,2.07,Million tonnes,101,
Eastran Special Steel,China,3.24,3.03,Million tonnes,102,
Xinjin Steel,China,3.24,2.78,Million tonnes,103,
Icdas,Turkey,3.22,3.09,Million tonnes,104,101.0
Rongxin Steel,China,3.2,3.39,Million tonnes,105,94.0
Luli Steel,China,3.16,2.22,Million tonnes,106,
Xiwang Special steel,China,3.13,2.5,Million tonnes,107,
