Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Product Type,Division,Unit
Nigeria,100,100,100,100,100,100,100,100,100,100,Crude Steel,Africa,thousand metric tons
South Africa,7484,7617,7546,6938,7162,6412,6417,6141,6301,6327,Crude Steel,Africa,thousand metric tons
Tunisia,155,150,150,150,150,150,50,50,50,50,Crude Steel,Africa,thousand metric tons
Uganda,30,30,30,30,30,30,30,30,30,30,Crude Steel,Africa,thousand metric tons
Iran,10908,11995,13197,14463,15422,16331,16146,17895,21236,24520,Crude Steel,Middle East,thousand metric tons
Israel,300,300,300,300,300,300,300,300,300,300,Crude Steel,Middle East,thousand metric tons
Jordan,150,150,150,150,150,150,150,150,150,150,Crude Steel,Middle East,thousand metric tons
Oman,0,0,200,300,500,1500,2000,2000,2000,2000,Crude Steel,Middle East,thousand metric tons
Qatar,1448,1970,2038,2145,2236,3019,2593,2521,2644,2575,Crude Steel,Middle East,thousand metric tons
Saudi Arabia,4690,5015,5275,5203,5471,6291,5229,5461,4831,5240,Crude Steel,Middle East,thousand metric tons
Syria,70,70,70,10,10,5,5,5,5,5,Crude Steel,Middle East,thousand metric tons
United Arab Emirates,200,500,2000,2408,2878,136,3006,3149,3309,3247,Crude Steel,Middle East,thousand metric tons
Bangladesh,70,78,85,87,84,90,100,100,100,100,Crude Steel,Asia,thousand metric tons
China,577070,638743,701968,731040,822000,822306,803825,807609,870855,928264,Crude Steel,Asia,thousand metric tons
India,63527,68976,73471,77264,81299,87292,89026,95477,101455,109272,Crude Steel,Asia,thousand metric tons
Indonesia,3501,3664,3621,2254,2644,4351,4854,4746,5195,6183,Crude Steel,Asia,thousand metric tons
Japan,87534,109599,107601,107232,110595,110666,105134,104775,104661,104319,Crude Steel,Asia,thousand metric tons
D.P.R. Korea,1300,1300,1300,1280,1250,1250,1250,1250,1250,1250,Crude Steel,Asia,thousand metric tons
South Korea,48572,58914,68519,69073,66061,71543,69670,68576,71030,72464,Crude Steel,Asia,thousand metric tons
Malaysia,5354,5694,5941,5612,4693,4316,3784,2764,3215,4108,Crude Steel,Asia,thousand metric tons
Mongolia,35,35,35,35,40,45,45,50,50,50,Crude Steel,Asia,thousand metric tons
Myanmar,25,25,25,25,30,35,35,35,35,35,Crude Steel,Asia,thousand metric tons
Pakistan,1199,1401,1592,1631,1845,2423,2892,3553,4966,4719,Crude Steel,Asia,thousand metric tons
Philippines,824,1050,1200,1260,1308,1196,968,1075,1378,1475,Crude Steel,Asia,thousand metric tons
Singapore,664,728,752,688,434,540,501,520,596,618,Crude Steel,Asia,thousand metric tons
Sri Lanka,30,30,30,30,30,30,30,30,30,30,Crude Steel,Asia,thousand metric tons
"Taiwan, China",15814,19755,20178,20664,22282,23221,21392,21751,22438,23240,Crude Steel,Asia,thousand metric tons
Thailand,3646,4145,4256,3641,3613,5835,5069,5400,6762,6403,Crude Steel,Asia,thousand metric tons
Viet Nam,2700,4314,4900,5298,5474,5847,5647,7811,11473,15471,Crude Steel,Asia,thousand metric tons
Australia,5249,7296,6404,4893,4688,4607,4925,5259,5328,5689,Crude Steel,Oceania,thousand metric tons
New Zealand,765,853,844,912,900,859,793,577,657,652,Crude Steel,Oceania,thousand metric tons
Austria,5394,6619,6875,6900,7377,7148,7601,7594,7999,7495,Hot Rolled Products,European Union (28),thousand metric tons
Belgium,7172,9649,10012,8917,8293,8392,8938,8735,9292,10260,Hot Rolled Products,European Union (28),thousand metric tons
Bulgaria,947,896,1115,818,875,935,840,921,911,1131,Hot Rolled Products,European Union (28),thousand metric tons
Croatia,76,81,69,15,16,17,16,17,15,13,Hot Rolled Products,European Union (28),thousand metric tons
Czech Republic,3955,4625,4616,4276,4416,4375,4459,4657,4053,4458,Hot Rolled Products,European Union (28),thousand metric tons
Denmark,313,470,540,360,480,490,575,615,590,655,Hot Rolled Products,European Union (28),thousand metric tons
Germany,29990,38103,39286,37843,37687,37713,37562,37602,37539,36584,Hot Rolled Products,European Union (28),thousand metric tons
Finland,2537,3380,3380,3355,3195,3440,3560,3660,3700,3770,Hot Rolled Products,European Union (28),thousand metric tons
France,3336,3388,3486,13529,14716,15464,14994,14319,15103,14738,Hot Rolled Products,European Union (28),thousand metric tons
Greece,1855,1635,1790,1155,985,965,875,1020,1140,1200,Hot Rolled Products,European Union (28),thousand metric tons
Hungary,1452,1594,1765,1928,1936,1823,1714,1593,1972,2086,Hot Rolled Products,European Union (28),thousand metric tons
Italy,20743,25359,27978,26309,23553,23150,21730,23205,23227,23533,Hot Rolled Products,European Union (28),thousand metric tons
Latvia,692,650,570,810,814,150,200,0,0,0,Hot Rolled Products,European Union (28),thousand metric tons
Luxembourg,2418,2737,2220,2136,2015,2124,2034,2056,2055,2166,Hot Rolled Products,European Union (28),thousand metric tons
Netherlands,4997,6274,6401,6418,6370,6657,6814,6465,6589,6971,Hot Rolled Products,European Union (28),thousand metric tons
Poland,6358,7050,7844,7789,7514,7650,7953,8229,9039,9105,Hot Rolled Products,European Union (28),thousand metric tons
Portugal,1483,1330,1765,1870,1910,1860,1835,1750,1700,1900,Hot Rolled Products,European Union (28),thousand metric tons
Romania,2862,3580,3860,3080,2750,2945,3200,3120,3100,3200,Hot Rolled Products,European Union (28),thousand metric tons
Slovak Republic,3395,3726,3468,3600,3660,4607,4300,4300,4350,4380,Hot Rolled Products,European Union (28),thousand metric tons
Slovenia,355,492,530,580,555,555,555,570,605,610,Hot Rolled Products,European Union (28),thousand metric tons
Spain,14406,15511,15251,13166,12954,13529,13781,13181,13589,13777,Hot Rolled Products,European Union (28),thousand metric tons
Sweden,2956,4100,4125,3420,3500,3800,3950,4120,4200,4020,Hot Rolled Products,European Union (28),thousand metric tons
United Kingdom,7135,8415,7993,7054,8053,8148,7988,6680,6330,6529,Hot Rolled Products,European Union (28),thousand metric tons
