Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Division,Import/Export,Product Type
Kazakhstan,3408.0,2860.0,2491.0,1693.0,1132.0,1650.0,1704.0,2500.0,1732.0,1389.0,C.I.S.,Export,Semi-finished and Finished Steel
Kyrgyzstan,0.0,10.0,11.0,9.0,8.0,10.0,2.0,0.0,0.0,0.0,C.I.S.,Export,Semi-finished and Finished Steel
Moldova,273.0,224.0,221.0,314.0,147.0,344.0,273.0,194.0,375.0,467.0,C.I.S.,Export,Semi-finished and Finished Steel
Russia,27587.0,27382.0,24729.0,26678.0,23641.0,28084.0,29702.0,31186.0,31159.0,33343.0,C.I.S.,Export,Semi-finished and Finished Steel
Tajikistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,C.I.S.,Export,Semi-finished and Finished Steel
Turkmenistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,C.I.S.,Export,Semi-finished and Finished Steel
Ukraine,23970.0,25201.0,25955.0,24142.0,24720.0,21492.0,17721.0,18230.0,15224.0,15083.0,C.I.S.,Export,Semi-finished and Finished Steel
Uzbekistan,15.0,30.0,8.0,4.0,9.0,22.0,17.0,4.0,7.0,41.0,C.I.S.,Export,Semi-finished and Finished Steel
Canada,4947.0,7023.0,6356.0,6166.0,5767.0,6201.0,6038.0,5848.0,6482.0,6435.0,North America,Export,Semi-finished and Finished Steel
Costa Rica,7.0,4.0,2.0,6.0,12.0,14.0,110.0,213.0,324.0,221.0,North America,Export,Semi-finished and Finished Steel
Cuba,23.0,17.0,41.0,47.0,40.0,24.0,9.0,32.0,49.0,49.0,North America,Export,Semi-finished and Finished Steel
Dominican Republic,37.0,36.0,90.0,47.0,35.0,43.0,44.0,33.0,48.0,66.0,North America,Export,Semi-finished and Finished Steel
El Salvador,100.0,4.0,2.0,6.0,4.0,8.0,5.0,10.0,12.0,11.0,North America,Export,Semi-finished and Finished Steel
Guatemala,4.0,9.0,8.0,13.0,13.0,14.0,16.0,61.0,82.0,82.0,North America,Export,Semi-finished and Finished Steel
Honduras,20.0,20.0,2.0,13.0,12.0,19.0,17.0,28.0,21.0,14.0,North America,Export,Semi-finished and Finished Steel
Jamaica,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,Export,Semi-finished and Finished Steel
Mexico,3619.0,5183.0,5537.0,4688.0,5639.0,5395.0,3898.0,4084.0,5180.0,5825.0,North America,Export,Semi-finished and Finished Steel
Nicaragua,4.0,5.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,North America,Export,Semi-finished and Finished Steel
Panama,3.0,5.0,4.0,7.0,3.0,11.0,5.0,4.0,5.0,7.0,North America,Export,Semi-finished and Finished Steel
Trinidad and Tobago,102.0,125.0,170.0,175.0,102.0,129.0,83.0,4.0,1.0,0.0,North America,Export,Semi-finished and Finished Steel
United States,9238.0,11802.0,13288.0,13560.0,12508.0,11961.0,10000.0,9247.0,10211.0,8623.0,North America,Export,Semi-finished and Finished Steel
Other North America,31.0,1.0,4.0,6.0,4.0,4.0,18.0,3.0,9.0,1.0,North America,Export,Semi-finished and Finished Steel
Argentina,1294.0,1113.0,1118.0,1026.0,880.0,890.0,471.0,450.0,612.0,129.0,South America,Export,Semi-finished and Finished Steel
Bolivia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South America,Export,Semi-finished and Finished Steel
Brazil,8607.0,8983.0,10824.0,9673.0,8081.0,9766.0,13708.0,13399.0,15317.0,13914.0,South America,Export,Semi-finished and Finished Steel
Chile,103.0,115.0,114.0,80.0,51.0,118.0,79.0,84.0,116.0,222.0,South America,Export,Semi-finished and Finished Steel
Colombia,191.0,203.0,188.0,178.0,119.0,100.0,66.0,66.0,89.0,98.0,South America,Export,Semi-finished and Finished Steel
Ecuador,10.0,27.0,25.0,20.0,22.0,21.0,40.0,41.0,40.0,60.0,South America,Export,Semi-finished and Finished Steel
Paraguay,11.0,9.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,South America,Export,Semi-finished and Finished Steel
Peru,135.0,138.0,134.0,166.0,166.0,178.0,149.0,215.0,209.0,219.0,South America,Export,Semi-finished and Finished Steel
Uruguay,31.0,20.0,26.0,1.0,28.0,28.0,20.0,38.0,47.0,26.0,South America,Export,Semi-finished and Finished Steel
Venezuela,770.0,246.0,712.0,163.0,80.0,20.0,78.0,48.0,24.0,23.0,South America,Export,Semi-finished and Finished Steel
Other South America,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,South America,Export,Semi-finished and Finished Steel
Algeria,10.0,3.0,11.0,23.0,15.0,4.0,1.0,0.0,1.0,59.0,Africa,Export,Semi-finished and Finished Steel
Cameroon,0.0,0.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,Africa,Export,Semi-finished and Finished Steel
Egypt,941.0,1184.0,1425.0,847.0,1958.0,1153.0,453.0,808.0,1477.0,1453.0,Africa,Export,Semi-finished and Finished Steel
Ghana,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,Africa,Export,Semi-finished and Finished Steel
Ivory Coast,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Africa,Export,Semi-finished and Finished Steel
Kenya,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,Africa,Export,Semi-finished and Finished Steel
Libya,95.0,124.0,92.0,47.0,9.0,3.0,13.0,6.0,18.0,51.0,Africa,Export,Semi-finished and Finished Steel
Morocco,24.0,64.0,169.0,141.0,92.0,47.0,65.0,107.0,155.0,133.0,Africa,Export,Semi-finished and Finished Steel
Nigeria,1.0,1.0,5.0,5.0,0.0,19.0,6.0,1.0,10.0,5.0,Africa,Export,Semi-finished and Finished Steel
Senegal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Africa,Export,Semi-finished and Finished Steel
South Africa,2844.0,3018.0,2567.0,2216.0,1888.0,2339.0,2190.0,2194.0,2562.0,2857.0,Africa,Export,Semi-finished and Finished Steel
Sudan,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Africa,Export,Semi-finished and Finished Steel
Tanzania,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,Africa,Export,Semi-finished and Finished Steel
Tunisia,96.0,149.0,160.0,99.0,70.0,84.0,53.0,42.0,31.0,85.0,Africa,Export,Semi-finished and Finished Steel
Other Africa,13.0,41.0,43.0,59.0,54.0,63.0,28.0,24.0,21.0,25.0,Africa,Export,Semi-finished and Finished Steel
